"id","BusinessE","Lon2","Lat2","LonLat2","HWName","HWcode","TransferV","ActualReceiveV","TransferDate","ReceiptDate"
"295","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.53","34.53","NULL","NULL"
"296","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.225","34.225","NULL","NULL"
"297","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.9","33.9","NULL","NULL"
"298","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.55","33.55","NULL","NULL"
"299","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.65","33.65","NULL","NULL"
"300","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅蓄电池","900-052-31","33.99","33.99","NULL","NULL"
"301","西安凯立新材料股份有限公司","108.984524","34.494041","108.984524,34.494041","废催化剂-钯炭","271-006-50","4.344","4.344","NULL","NULL"
"302","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.365","34.365","NULL","NULL"
"303","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","19.28","19.28","NULL","NULL"
"304","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.15","33.15","NULL","NULL"
"305","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","33.2","NULL","NULL"
"306","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.6","33.6","NULL","NULL"
"307","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.6","33.6","NULL","NULL"
"308","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.1","34.1","NULL","NULL"
